"year"	"week"	"num_orders"	"total_sales_volume"	"total_revenue"
2013	31	2077	7022	2310572.57
2013	32	1857	6949	1963879.37
2013	33	1546	5456	1928555.98
2013	34	1809	6281	2253343.52
2013	35	1801	5933	1659349.56
2013	36	2507	8388	2811953.23
2013	37	2520	8130	2369103.47
2013	38	2466	8020	2293515.97
2013	39	2625	8882	2545631.62
2013	40	2597	8502	2937322.59
2013	41	2500	8535	2837411.26
2013	42	2623	8194	2816864.42
2013	43	2682	7879	2880460.35
2013	44	3264	9727	2808692.16
2013	45	2357	7262	2225065.42
2013	46	2515	7921	2639274.54
2013	47	3625	10796	3025219.92
2013	48	3663	10762	3943567.69
2013	49	4986	14390	5564733.05
2013	50	2796	7258	3190148.58
2013	51	2645	4804	2882350.03
2013	52	1435	2236	1754089.15
2014	1	3953	6803	3803711.32
2014	2	3377	6157	3681527.61
2014	3	3085	6332	3550605.81
2014	4	3068	5910	3033114.47
2014	5	3085	6129	3215218.54
2014	6	3103	5965	3467556.70
2014	7	2731	5362	2687972.24
2014	8	2871	5611	2929814.18
2014	9	2882	5808	3166633.91
2014	10	3076	6196	3506412.12
2014	11	2813	5824	3230329.67
2014	12	2883	5767	3516039.82
2014	13	2713	5959	3414496.70
2014	14	2756	5248	3183734.04
2014	15	2904	6152	3210797.75
2014	16	2341	5004	2677715.76
2014	17	2979	5914	3064574.86
2014	18	3412	6484	3379198.58
2014	19	3323	6086	2852074.35
2014	20	2975	5995	2949442.26
2014	21	2769	5767	2728974.24
2014	22	2532	5031	2335457.14
2014	23	2712	5428	2493789.82
2014	24	2597	5341	2574503.06
2014	25	2547	5164	2640085.81
2014	26	3023	6057	2713732.85
2014	27	2793	5841	2976823.23
2014	28	2960	5954	3284715.81
2014	29	3182	5834	2878317.02
2014	30	3405	6216	2894665.29
2014	31	3679	6841	3175191.29
2014	32	4048	7263	3236323.53
2014	33	3901	6966	3117623.06
2014	34	3463	6439	3257382.94
2014	35	3490	6683	3447716.67
2014	36	3642	7649	3694311.53
2014	37	3651	7561	3681140.31
2014	38	3619	7273	3470464.52
2014	39	3900	7875	3643699.17
2014	40	4529	9356	3647998.36
2014	41	4984	10378	3652405.37
2014	42	3716	8078	3034291.42
2014	43	3603	7808	3049140.36
2014	44	4001	8700	3593962.44
2014	45	4008	8337	3396237.18
2014	46	4082	8586	3277009.53
2014	47	4340	8592	3520087.16
2014	48	6758	12590	6913110.10
2014	49	8455	14747	7354842.09
2014	50	4805	9117	4182762.62
2014	51	4287	8318	3855106.08
2014	52	3041	5272	3039961.39
2015	1	2195	4089	1648407.92
2015	2	5297	9889	4280706.76
2015	3	6077	11912	4543603.51
2015	4	5421	11080	4436539.25
2015	5	5139	10106	3832621.25
2015	6	4698	10366	4118500.81
2015	7	4287	9258	3353144.37
2015	8	4552	9500	3422638.70
2015	9	4718	9932	3085896.38
2015	10	4457	9860	3337811.09
2015	11	4229	9591	3251041.72
2015	12	4306	9666	3417812.51
2015	13	4659	10262	3573836.04
2015	14	4357	9669	3331539.76
2015	15	4006	8751	2838674.22
2015	16	6424	14061	3466042.73
2015	17	4727	10207	3166568.16
2015	18	4501	9578	3197549.49
2015	19	4415	8889	3047399.86
2015	20	4708	9896	3579584.80
2015	21	4196	9183	3667488.94
2015	22	4468	9273	3197592.39
2015	23	4457	9399	3230683.77
2015	24	4218	8869	3015923.81
2015	25	3889	8649	3305027.42
2015	26	4175	9388	3326644.38
2015	27	3894	8621	3143896.84
2015	28	4264	9473	3446273.05
2015	29	4857	10471	3433894.80
2015	30	5193	10888	3717433.36
2015	31	4597	9593	4032512.03
2015	32	4407	9439	3669438.17
2015	33	4557	9387	3427063.79
2015	34	4538	9363	3820254.75
2015	35	5177	10835	3988721.69
2015	36	5614	11670	3641558.36
2015	37	5848	13112	3730407.78
2015	38	5441	11539	3434171.43
2015	39	4991	10234	3398224.14
2015	40	4992	10888	3694913.30
2015	41	5281	10464	3802212.38
2015	42	5750	11598	4380448.62
2015	43	5342	10636	3712298.78
2015	44	4893	9776	3955943.48
2015	45	4937	10018	3963887.09
2015	46	4965	9639	3655182.51
2015	47	4722	9075	3615181.70
2015	48	8413	15141	8411221.14
2015	49	9296	16732	8272286.78
2015	50	6261	11836	4443005.48
2015	51	4839	9380	3873486.77
2015	52	3830	6903	3601789.70
2015	53	3171	5280	2817820.78
2016	1	6950	13130	5388901.92
2016	2	6577	13319	4643908.97
2016	3	7033	13341	4523785.39
2016	4	5591	11199	4164669.76
2016	5	5424	11052	3765491.55
2016	6	5503	11664	3956899.89
2016	7	6043	13607	3997573.56
2016	8	6562	13224	4211071.62
2016	9	5536	11756	3749271.55
2016	10	5335	10841	3839311.95
2016	11	5331	11136	4005200.54
2016	12	4799	9434	3832456.67
2016	13	5097	9997	3822398.79
2016	14	5200	10228	3378488.53
2016	15	5498	10594	3412352.37
2016	16	6230	12631	3891946.62
2016	17	5729	11771	4252981.06
2016	18	4981	9593	3707765.71
2016	19	4302	8882	3644472.42
2016	20	4886	9491	3975528.45
2016	21	4838	9419	3631023.01
2016	22	4519	8616	3513755.98
2016	23	4544	9318	3483466.56
2016	24	4870	10277	3234834.84
2016	25	4266	8558	3413584.44
2016	26	4504	9459	3321176.90
2016	27	4287	8557	3199192.33
2016	28	4614	9006	3330933.65
2016	29	5786	11248	3123638.29
2016	30	4990	10341	3600236.90
2016	31	4696	8974	3632728.31
2016	32	4426	9051	3554544.84
2016	33	4929	10059	4177051.55
2016	34	4910	9500	4001969.66
2016	35	5952	11474	4122614.58
2016	36	6467	12981	4350304.02
2016	37	6598	13395	4184112.31
2016	38	6765	13559	4717867.25
2016	39	6645	14048	4467188.07
2016	40	6478	13193	3900675.73
2016	41	6452	12979	4040967.49
2016	42	5318	10385	3457002.52
2016	43	5299	10055	3821792.46
2016	44	5609	10900	3510748.81
2016	45	5278	10190	3478642.44
2016	46	5569	11468	4180566.44
2016	47	12423	23341	11688170.90
2016	48	8064	15764	5822404.17
2016	49	5792	11368	3581534.43
2016	50	5041	9775	3748672.51
2016	51	3638	7132	2784538.33
2016	52	3849	6787	3000170.35
2016	53	1772	2911	1139444.10
